chatid1,chatid2,date
6934,6928,1464243031
6950,6865,1464243047
6955,6935,1464243052
6967,6935,1464244802
6980,6977,1464244815
6993,6906,1464244828
7020,6824,1464246612
7027,6941,1464246619
7034,6990,1464246626
7052,7050,1464246644
7076,7021,1464248399
7086,7031,1464248409
7091,7031,1464248414
7100,6976,1464248423
7112,6993,1464248435
7113,7049,1464248436
7135,7081,1464250203
7141,7115,1464250209
7152,7145,1464250220
7157,7150,1464250225
7161,6950,1464250229
7175,6944,1464252001
7179,7175,1464252005
7185,6980,1464252011
7206,7157,1464253800
7209,7009,1464253803
7210,6939,1464253804
7232,7105,1464255601
7235,7196,1464255604
7252,7231,1464257400
7254,7174,1464257402
7272,6988,1464259206
7277,6968,1464259211
7278,7092,1464259212
7279,7183,1464259213
7283,7282,1464259217
7316,7115,1464261002
7344,7291,1464262813
7351,7033,1464262820
7357,7027,1464262826
7371,7052,1464262840
7389,7041,1464264600
7392,7046,1464264603
7398,7159,1464264609
7411,7211,1464264622
7441,7368,1464266415
7444,7274,1464266418
7466,7059,1464268202
7481,7047,1464268217
7484,7274,1464268220
7499,7157,1464270000
7501,7047,1464270002
7503,7148,1464270004
7508,7463,1464270009
7543,7516,1464273603
7551,7145,1464273611
7555,7016,1464273615
7556,7044,1464273616
7558,6993,1464273618
7560,7009,1464273620
7564,7173,1464273624
7572,7021,1464273632
7574,7436,1464273634
7580,7480,1464273640
7589,7475,1464273649
7591,6977,1464273651
7594,7499,1464273654
7610,6988,1464275401
7622,7371,1464275413
7623,7442,1464275414
7624,7433,1464275415
7628,7612,1464275419
7633,7102,1464275424
7636,7030,1464275427
7638,7503,1464275429
7656,7434,1464275447
7662,6864,1464275453
7664,7592,1464275455
7672,7295,1464277199
7682,7428,1464277209
7693,7506,1464277220
7694,7501,1464277221
7697,7336,1464277224
7714,7285,1464279006
7722,7320,1464279014
7732,7440,1464279024
7738,7150,1464279030
7744,7478,1464279036
7745,7619,1464279037
7748,7503,1464279040
7757,7714,1464279049
7784,6954,1464282602
7785,7514,1464282603
7801,7595,1464284407
7806,7364,1464284412
7813,7675,1464284419
7815,7543,1464284421
7816,7803,1464284422
7819,7102,1464284425
7833,7209,1464284439
7844,7718,1464286199
7849,7728,1464286204
7851,7449,1464286206
7872,7400,1464288007
7880,7019,1464288015
7897,7273,1464289802
7900,7478,1464289805
7906,7375,1464289811
7909,7092,1464289814
7913,7413,1464289818
7916,6936,1464289821
7917,7389,1464289822
7918,7179,1464289823
7920,7254,1464289825
7921,6861,1464289826
7926,7817,1464289831
7928,7351,1464289833
7931,7745,1464289836
7937,7835,1464289842
7950,7272,1464291599
7953,7819,1464291602
7959,7865,1464291608
7960,7478,1464291609
7965,7449,1464291614
7968,7340,1464291617
7969,7695,1464291618
7970,7457,1464291619
7972,7091,1464291621
7975,7410,1464291624
7980,7822,1464291629
7984,7186,1464291633
7986,7927,1464291635
7988,7481,1464291637
7989,7761,1464291638
7990,7390,1464291639
7992,7991,1464291641
7993,7474,1464291642
7994,7625,1464291643
7998,7099,1464291647
8015,7397,1464293401
8024,7761,1464293410
8027,6870,1464293413
8028,7678,1464293414
8036,7033,1464293422
8042,7552,1464293428
8043,7081,1464293429
8044,7816,1464293430
8046,7651,1464293432
8057,7575,1464295203
8061,7049,1464295207
8065,6840,1464295211
8066,7041,1464295212
8069,7624,1464295215
8072,7233,1464295218
8076,7286,1464295222
8078,7205,1464295224
8080,7684,1464295226
8083,7681,1464295229
8086,7903,1464295232
8087,7613,1464295233
8090,8039,1464295236
8100,7283,1464295246
8109,7575,1464295255
8125,7961,1464297005
8131,7336,1464297011
8141,7030,1464297021
8151,7544,1464297031
8152,7109,1464297032
8153,7674,1464297033
8164,7289,1464298799
8166,7091,1464298801
8167,7398,1464298802
8172,7050,1464298807
8176,6958,1464298811
8179,7930,1464298814
8188,7875,1464298823
8193,8014,1464298828
8194,8044,1464298829
8196,7930,1464298831
8199,7930,1464298834
8204,7371,1464298839
8209,7982,1464298844
8221,7928,1464300600
8227,7253,1464300606
8229,8074,1464300608
8238,8017,1464300617
8248,7313,1464300627
8249,7700,1464300628
8255,7081,1464300634
8256,7253,1464300635
8280,7934,1464302402
8281,8036,1464302403
8282,8202,1464302404
8286,7816,1464302408
8287,7687,1464302409
8288,7682,1464302410
8289,7873,1464302411
8301,8088,1464302423
8303,7589,1464302425
8308,7643,1464304199
8314,8140,1464304205
8318,8071,1464304209
8320,7803,1464304211
8322,7804,1464304213
8323,7543,1464304214
8327,7707,1464304218
8338,7102,1464306000
8343,7869,1464306005
8348,7367,1464306010
8349,7593,1464306011
8352,8319,1464306014
8364,7823,1464307801
8376,7917,1464309599
8378,7440,1464309601
8379,7553,1464309602
8381,7926,1464309604
8385,7449,1464309608
8397,7547,1464309620
8398,7834,1464309621
8399,6923,1464309622
8401,8167,1464309624
8407,7746,1464309630
8415,8341,1464309638
8425,8301,1464309648
8426,7823,1464309649
8427,7659,1464309650
8442,8131,1464311401
8443,8404,1464311402
8448,8207,1464311407
8451,8400,1464311410
8470,7158,1464313201
8471,7621,1464313202
8475,7677,1464313206
8488,7899,1464313219
8494,7930,1464313225
8497,7849,1464313228
8531,8070,1464314999
8544,7762,1464315012
8547,7297,1464315015
8582,8390,1464316810
8583,6939,1464316811
8584,8226,1464316812
8590,8383,1464316818
8596,8099,1464316824
8598,8021,1464316826
8606,8087,1464316834
8607,7896,1464316835
8608,8281,1464316836
8610,7819,1464316838
8612,7366,1464316840
8615,8518,1464316843
8629,7750,1464318603
8631,7457,1464318605
8639,8099,1464320399
8640,7610,1464320400
8642,7131,1464320402
8644,7287,1464320404
8645,7020,1464320405
8650,7112,1464320410
8652,7154,1464320412
8655,7683,1464320415
8660,8419,1464320420
8692,8423,1464322201
8694,7880,1464322203
8696,7747,1464322205
8703,7977,1464322212
8711,7974,1464322220
8737,7819,1464324000
8740,8036,1464324003
8745,7637,1464324008
8747,7150,1464324010
8749,8261,1464324012
8754,8078,1464324017
8772,7724,1464324035
8776,8015,1464324039
8790,8573,1464325799
8791,7099,1464325800
8792,8071,1464325801
8795,8765,1464325804
8803,8246,1464325812
8835,8664,1464325844
8836,8402,1464325845
8864,7279,1464329401
8878,8644,1464331203
8890,7798,1464331215
8898,6941,1464331223
8904,6840,1464331229
8905,8829,1464331230
8906,7622,1464331231
8908,6869,1464331233
8909,8301,1464331234
8923,6958,1464333000
8930,7560,1464333007
8948,8810,1464334802
8956,7700,1464334810
8961,7798,1464334815
8966,8227,1464334820
8980,7289,1464334834
8984,8975,1464334838
8985,8387,1464334839
8999,8385,1464336601
9002,8936,1464336604
9005,7479,1464336607
9008,8935,1464336610
9009,8806,1464336611
9010,8379,1464336612
9011,7933,1464336613
9024,8492,1464336626
9028,7833,1464336630
9029,7642,1464336631
9035,8747,1464336637
9039,6980,1464336641
9045,7131,1464336647
9046,8152,1464336648
9074,7717,1464340203
9077,7021,1464340206
9096,8767,1464342005
9100,8649,1464342009
9102,7015,1464342011
9108,8196,1464342017
9110,7030,1464342019
9116,8810,1464342025
9120,8912,1464342029
9133,7718,1464343799
9148,9008,1464345604
9152,6941,1464345608
9156,8946,1464345612
9157,9071,1464345613
9162,8075,1464345618
9163,7738,1464345619
9171,7881,1464345627
9180,8486,1464345636
9184,8475,1464345640
9189,7425,1464345645
9202,7972,1464347403
9207,7872,1464347408
9212,9157,1464347413
9222,7571,1464347423
9226,7769,1464347427
9229,7594,1464347430
9253,8617,1464349209
9257,8413,1464349213
9258,8750,1464349214
9267,6923,1464349223
9271,7595,1464349227
9290,8091,1464351002
9291,8402,1464351003
9292,8793,1464351004
9298,9213,1464351010
9301,7440,1464351013
9303,7174,1464351015
9306,8225,1464351018
9318,7351,1464351030
9337,9046,1464351049
9339,8189,1464351051
9341,8754,1464351053
9373,7041,1464354603
9375,7846,1464354605
9379,7371,1464354609
9383,7919,1464354613
9385,8887,1464354615
9395,8670,1464354625
9397,8716,1464354627
9402,7717,1464354632
9410,8737,1464354640
9411,8327,1464354641
9429,9043,1464356404
9432,8042,1464356407
9434,7770,1464356409
9435,8194,1464356410
9446,7238,1464356421
9448,7100,1464356423
9475,9449,1464358207
9480,8401,1464358212
9484,8034,1464358216
9486,8630,1464358218
9487,8076,1464358219
9501,7664,1464358233
9503,8986,1464358235
9504,9172,1464358236
9508,7739,1464358240
9511,8503,1464358243
9513,9269,1464358245
9515,7484,1464358247
